letter_number,occurrence,date,english_title,source_pdf_pages,translation_status,bilingual_alignment_status,editorial_review_status,final_release_status,source_incomplete,file
3537,1,2011-03-12,Five-Year Achievements of the Rural Development and Panchayat Raj Department! (Continuation from Yesterday)(2),024-033,source-checked,verified,reviewed,verified,false,letters/3537-rural-development-and-panchayat-raj-five-year-achievements-2.md
3538,1,2011-03-13,Five-Year Achievements of the Rural Development and Panchayat Raj Department (3),034-041,source-checked,verified,reviewed,verified,false,letters/3538-rural-development-and-panchayat-raj-five-year-achievements-3.md
3539,1,2011-03-14,Five-Year Achievements of the Health and Family Welfare Department! (1),042-049,source-checked,verified,reviewed,verified,false,letters/3539-health-and-family-welfare-five-year-achievements-1.md
3540,1,2011-03-15,Five-Year Achievements of the Health and Family Welfare Department! (2),050-056,source-checked,verified,reviewed,verified,false,letters/3540-health-and-family-welfare-five-year-achievements-2.md
3541,1,2011-03-15,Do Not Forget That I Too Am With You!,057-060,source-checked,verified,reviewed,verified,false,letters/3541-do-not-forget-that-i-too-am-with-you.md
3542,1,2011-03-16,Five-Year Achievements of the Health and Family Welfare Department (3),061-068,source-checked,verified,reviewed,verified,false,letters/3542-health-and-family-welfare-five-year-achievements-3.md
3543,1,2011-03-17,Five-Year Achievements of the Municipal Administration Department!,069-079,source-checked,verified,reviewed,verified,false,letters/3543-municipal-administration-department-five-year-achievements.md
3544,1,2011-03-18,Five-Year Achievements of the Municipal Administration Department!,080-088,source-checked,verified,reviewed,verified,false,letters/3544-municipal-administration-department-five-year-achievements.md
3545,1,2011-03-19,Five-Year Achievements of the Municipal Administration Department!,089-098,source-checked,verified,reviewed,verified,false,letters/3545-municipal-administration-department-five-year-achievements.md
3546,1,2011-03-19,I Will Never Separate the Armour and Shields!,099-103,source-checked,verified,reviewed,verified,false,letters/3546-armour-and-shields-i-will-never-separate-them.md
3547,1,2011-03-20,Five-Year Achievements of the Municipal Administration Department!,104-110,source-checked,verified,reviewed,verified,false,letters/3547-municipal-administration-department-five-year-achievements.md
3548,1,2011-03-21,Five-Year Achievements of the Social Welfare and Nutritious Meal Programme Department!,111-118,source-checked,verified,reviewed,verified,false,letters/3548-social-welfare-and-nutritious-meal-programme-department-five-year-achievements.md
3549,1,2011-03-22,"Come! Come! O Ranks of Striped Tigers, Come!",119-122,source-checked,verified,reviewed,verified,false,letters/3549-come-come-o-ranks-of-striped-tigers-come.md
3550,1,2011-03-23,What Is the Maxim of Thevar Thirumagan?,123-128,source-checked,verified,reviewed,verified,false,letters/3550-what-is-the-maxim-of-thevar-thirumagan.md
3551,1,2011-03-28,Achievements We Accomplished So the Country May Prosper!,129-141,source-checked,verified,reviewed,verified,false,letters/3551-achievements-we-accomplished-so-the-country-may-prosper.md
3552,1,2011-03-30,Yārā—Stay Alert! Money-Rule Is Creeping In!,142-144,source-checked,verified,reviewed,verified,false,letters/3552-yaaraa-stay-alert-money-rule-is-creeping-in.md
3553,1,2011-04-05,"If One Looks for Faults, There Will Be No Circle of Kin!",145-149,source-checked,verified,reviewed,verified,false,letters/3553-if-one-looks-for-faults-there-will-be-no-circle-of-kin.md
3554,1,2011-04-13,What Is the Mark Worthy of Respect?,150-154,source-checked,verified,reviewed,verified,false,letters/3554-what-is-the-mark-worthy-of-respect.md
3555,1,2011-04-17,Written That Very Day; It Still Applies Today!,155-159,source-checked,verified,reviewed,verified,false,letters/3555-written-that-very-day-it-still-applies-today.md
3556,1,2011-04-21,"Karat Saw It, Yet He Forgot!",160-163,source-checked,verified,reviewed,verified,false,letters/3556-karat-saw-it-yet-he-forgot.md
3557,1,2011-04-24,Who Should Seek Public Forgiveness?,164-169,source-checked,verified,reviewed,verified,false,letters/3557-who-should-seek-public-forgiveness.md
3558,1,2011-04-30,The Film Industry and the DMK!,170-175,source-checked,verified,reviewed,verified,false,letters/3558-the-film-industry-and-the-dmk.md
3559,1,2011-05-04,Do Not Sharpen the Knife; Sharpen the Intellect!,176-180,source-checked,verified,reviewed,verified,false,letters/3559-do-not-sharpen-the-knife-sharpen-the-intellect.md
3560,1,2011-05-05,Those Above Praise; Those Below Revile!,181-188,source-checked,verified,reviewed,verified,false,letters/3560-those-above-praise-those-below-revile.md
3561,1,2011-05-07,"A Golden Day for You, for Me—and for Tamils Across the World!",189-196,source-checked,verified,reviewed,verified,false,letters/3561-a-golden-day-for-you-for-me-and-for-tamils-across-the-world.md
3562,1,2011-05-13,“Some People at Certain Times!”,197-200,source-checked,verified,reviewed,verified,false,letters/3562-some-people-at-certain-times.md
3563,1,2011-05-22,We Are Certain to Win the Final Battle!,201-208,source-checked,verified,reviewed,verified,false,letters/3563-we-are-certain-to-win-the-final-battle.md
3564,1,2011-06-03,"“Brass, It Seems, Sneered at Lead!”",209-217,source-checked,verified,reviewed,verified,false,letters/3564-brass-it-seems-sneered-at-lead.md
3565,1,2011-06-11,What Is Happening Today Is What Happened Then!,218-222,source-checked,verified,reviewed,verified,false,letters/3565-what-happens-today-happened-then-too.md
3566,1,2011-06-13,That Itself Is a Consolation!,223-230,source-checked,verified,reviewed,verified,false,letters/3566-that-itself-is-a-consolation.md
3567,1,2011-06-14,Some Newspapers Yearn: Won't Dividing Lines Appear?,231-235,source-checked,verified,reviewed,verified,false,letters/3567-some-newspapers-long-for-dividing-lines-to-appear.md
3568,1,2011-06-15,Is Everything the Victor Says Scripture?,236-241,source-checked,verified,reviewed,verified,false,letters/3568-is-everything-the-victor-says-scripture.md
3569,1,2011-06-18,Will There Be a Power Shortage in the Future?,242-248,source-checked,verified,reviewed,verified,false,letters/3569-will-there-be-a-power-shortage-in-the-future.md
3570,1,2011-06-19,This Letter Is but a Drop of Hope!,249-255,source-checked,verified,reviewed,verified,false,letters/3570-this-letter-is-but-a-drop-of-hope.md
3571,1,2011-06-30,One Example Is Enough!,256-260,source-checked,verified,reviewed,verified,false,letters/3571-one-example-is-enough.md
3572,1,2011-07-19,“Even 100 Karunanidhis Could Not Do It!”,261-265,source-checked,verified,reviewed,verified,false,letters/3572-even-100-karunanidhis-could-not-do-it.md
3573,1,2011-07-21,Suffering Will End; Trouble Will Lessen!,266-268,source-checked,verified,reviewed,verified,false,letters/3573-suffering-will-end-trouble-will-lessen.md
3574,1,2011-07-28,The Path of Peace—the Righteous Path—That Is Anna's Path!,269-274,source-checked,verified,reviewed,verified,false,letters/3574-the-path-of-peace-the-righteous-path-that-is-annas-path.md
3575,1,2011-07-30,From That Day to This Day....!,275-283,source-checked,verified,reviewed,verified,false,letters/3575-from-that-day-to-this-day.md
3576,1,2011-07-31,Behold the World-Famous Noble Tamil Woman!,284-289,source-checked,verified,reviewed,verified,false,letters/3576-behold-the-world-famous-noble-tamil-woman.md
3577,1,2011-08-03,The List from Just Three Months of Rule Leaves One Breathless!,290-305,source-checked,verified,reviewed,verified,false,letters/3577-the-list-from-three-months-of-rule-leaves-one-breathless.md
3578,1,2011-08-05,One Rule for You; Another for Everyone Else?,306-312,source-checked,verified,reviewed,verified,false,letters/3578-one-rule-for-you-another-for-the-rest.md
3579,1,2011-08-06,Is a Tax-Free Budget Not a Distilled Falsehood?,313-319,source-checked,verified,reviewed,verified,false,letters/3579-is-a-tax-free-budget-not-a-distilled-falsehood.md
3580,1,2011-08-12,Never Mind; Let Them Dance as Long as They Can!,320-327,source-checked,verified,reviewed,verified,false,letters/3580-never-mind-let-them-dance-as-long-as-they-can.md
3581,1,2011-08-13,Can a Monkey Know the Fragrance and Beauty of a Flower Garland!,328-337,source-checked,verified,reviewed,verified,false,letters/3581-can-a-monkey-know-the-fragrance-and-beauty-of-a-flower-garland.md
