order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
1,m53-l3966,3966,நீதி விண்ணுயர எழுந்து நிற்கும்; வெற்றி முரசம் ஒலிக்கும்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3966_நீதி_விண்ணுயர_எழுந்து_நிற்கும்;_வெற்றி_முரசம்_ஒலிக்கும்!/chapter.md,a87661c3c947e0fe11e9b6befde6b4a7507f5cbbb4ffd4d4f9ad33bb8588dbf4,translations/vol53/m53-l3966.en.md,translated
2,m53-l3967,3967,எதைச் சொல்வது? எதை விடுவது?,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3967_எதைச்_சொல்வது_எதை_விடுவது/chapter.md,aabbab7bedf1230fd262037ca2550636f4c9aa6703dab1d585953f10bf12cd57,translations/vol53/m53-l3967.en.md,translated
3,m53-l3968,3968,அய்யய்ய! சொல்ல வெட்கமாகுதே!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3968_அய்யய்ய!_சொல்ல_வெட்கமாகுதே!/chapter.md,3683b65af460da2e53adac4d2d148e6366c495be4bf8eed375fe6426f242e7bf,translations/vol53/m53-l3968.en.md,translated
4,m53-l3969,3969,‘கொட்டைப்பாக்குக்கு விலை கூறும்’ விசுவநாதன் பதில்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3969_‘கொட்டைப்பாக்குக்கு_விலை_கூறும்’_விசுவநாதன்_பதில்!/chapter.md,2bf7660d4255586afff76b0632ed2a04bd433643372083d96fd958d5012ace7a,translations/vol53/m53-l3969.en.md,translated
5,m53-l3970,3970,நெஞ்சில் ஓர் வஞ்சமிலா நீட்டோலை!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3970_நெஞ்சில்_ஓர்_வஞ்சமிலா_நீட்டோலை!/chapter.md,e8b14378c7015479fdd2ccf18526b4b4f634ba3330ac92b033f8cddf94a41268,translations/vol53/m53-l3970.en.md,translated
6,m53-l3971,3971,"அறவழியில், அமைதிவழியில் ஆர்ப்பாட்டம்!","v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3971_அறவழியில்,_அமைதிவழியில்_ஆர்ப்பாட்டம்!/chapter.md",01dc9ca322599d29f80907961473e63bcc798b470c645d7e0cc5dc5112a6e71c,translations/vol53/m53-l3971.en.md,translated
7,m53-l3972,3972,வீறு நடை - வெற்றி நடை போட உன்னை அழைக்கின்றேன்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3972_வீறு_நடை_-_வெற்றி_நடை_போட_உன்னை_அழைக்கின்றேன்!/chapter.md,39103d2d1c5ec59c23a90f7c5d0da6702c5509494ba57ff3ab07ca35bcb9bb26,translations/vol53/m53-l3972.en.md,translated
8,m53-l3973,3973,இன்று “முரசொலி” பிறந்தநாள்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3973_இன்று_“முரசொலி”_பிறந்தநாள்!/chapter.md,c896b1a52d74616d35f2637416851fba5f9de0ae4f4b7f50af099edfe0c16298,translations/vol53/m53-l3973.en.md,translated
9,m53-l3974,3974,சந்தேகம் களைவது ஜனநாயகக் கடமை அல்லவா?,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3974_சந்தேகம்_களைவது_ஜனநாயகக்_கடமை_அல்லவா/chapter.md,9dbb4424fdbb05b3c7fbd35590b7ae6661808124f78e21ed15375700c8c562c2,translations/vol53/m53-l3974.en.md,translated
10,m53-l3975,3975,கடுகளவும் நிறைவேற்றாத; கடல் அளவு அறிவிப்புகள்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3975_கடுகளவும்_நிறைவேற்றாத;_கடல்_அளவு_அறிவிப்புகள்!/chapter.md,6c2179cfae61af4f1dd622c2f41b4c636aa71e83734bfd35abb112ed8347ffe8,translations/vol53/m53-l3975.en.md,translated
11,m53-l3976,3976,ஏமாற்றுவோரிடமிருந்து தமிழகம் மீள்வதுதான் எப்போது?,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3976_ஏமாற்றுவோரிடமிருந்து_தமிழகம்_மீள்வதுதான்_எப்போது/chapter.md,b6646ccbaf8dec66273a9c2f6dccf068db7a7e5f1b7f4a14d70b7d7c2f025805,translations/vol53/m53-l3976.en.md,translated
12,m53-l3977,3977,சூழ்ச்சிக்கு இரையாகாமல் சுயமரியாதைப் பயணம் தொடர்வோம்!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3977_சூழ்ச்சிக்கு_இரையாகாமல்_சுயமரியாதைப்_பயணம்_தொடர்வோம்!/chapter.md,323c1d739394371815b11b7bbef7fceed75ad3c3fb4663f11f4174ae8bc6af7a,translations/vol53/m53-l3977.en.md,translated
13,m53-l3978,3978,முதலீட்டாளர்கள் மாநாடு: தேர்தலை முன்னிட்டு நடத்திய ‘தகிடுதத்தம்’ தானே!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3978_முதலீட்டாளர்கள்_மாநாடு_தேர்தலை_முன்னிட்டு_நடத்திய_‘தகிடுதத்தம்’_தானே!/chapter.md,37f2f412acf70fe2a6b803d464d55f8f556b00e0da3d38145ede86ea4ddbc905,translations/vol53/m53-l3978.en.md,translated
14,m53-l3979,3979,முள்ளு முனையில் மூன்று குளம் வெட்டிய கதை!,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3979_முள்ளு_முனையில்_மூன்று_குளம்_வெட்டிய_கதை!/chapter.md,5257400f882822b18c986afa07437016994489729f5dc19ae4ef8731192dc1c7,translations/vol53/m53-l3979.en.md,translated
15,m53-l3980,3980,சிந்து வெளி நாகரிகம் சிதைந்திடப் பொறுப்பதுவோ?,v6_source_verification/v6_4/publication_text_layer/vol53/chapters/m53-l3980_சிந்து_வெளி_நாகரிகம்_சிதைந்திடப்_பொறுப்பதுவோ/chapter.md,4497b21bed441540c15fcbff96b69cc6299370df28d5796e63d9ab84b001fa07,translations/vol53/m53-l3980.en.md,translated
