order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
1,m52-l3916,3916,மாற்றுத் திறனாளிகளை ஏமாற்றும் அ.தி.மு.க. ஆட்சி!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3916_மாற்றுத்_திறனாளிகளை_ஏமாற்றும்_அ.தி.மு.க._ஆட்சி!/chapter.md,d444d60b097a03ed33f0e0992bc3523a021f011aee07313beffcc89d8f06cad8,translations/vol52/m52-l3916.en.md,translated
2,m52-l3917,3917,"கழகப் பொறுப்புக்கு போட்டியிட்டு வெற்றி பெறுகிறவர்களும், வெற்றிவாய்ப்பை இழப்பவர்களும் என்றைக்கும் என் உடன்பிறப்புகள்தான்!","v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3917_கழகப்_பொறுப்புக்கு_போட்டியிட்டு_வெற்றி_பெறுகிறவர்களும்,_வெற்றிவாய்ப்பை_இ/chapter.md",c9c00adab8509a701f0f4da556432f122f89dac4a75630144d05ba508c478aa9,translations/vol52/m52-l3917.en.md,translated
3,m52-l3918,3918,“தாமதமாகும் நீதி; தடுக்கப்படும் நீதியா?”,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3918_“தாமதமாகும்_நீதி;_தடுக்கப்படும்_நீதியா_”/chapter.md,eb7ad8db89c61e557092f175d0d6110124d12a2a5815660084f7fe43412a55f7,translations/vol52/m52-l3918.en.md,translated
4,m52-l3919,3919,புது வகை ஜனநாயகம் பூத்துக் குலுங்குது; பாரீர்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3919_புது_வகை_ஜனநாயகம்_பூத்துக்_குலுங்குது;_பாரீர்!/chapter.md,29c6de3dc8680571ce90e4a30088c01fcc8eb2fe68642af361f3cfed76ca12e9,translations/vol52/m52-l3919.en.md,translated
5,m52-l3920,3920,உன் வருகையை எதிர்பார்த்துக் காத்திருப்பேன்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3920_உன்_வருகையை_எதிர்பார்த்துக்_காத்திருப்பேன்!/chapter.md,969f172d2ab0fe12e0ffef3df67f4448de32d36c1bf54f37b1797ec80b4638ec,translations/vol52/m52-l3920.en.md,translated
6,m52-l3921,3921,தளர்ச்சிப் பாதையில் தடுமாறும் தமிழக ஆட்சி!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3921_தளர்ச்சிப்_பாதையில்_தடுமாறும்_தமிழக_ஆட்சி!/chapter.md,93b5d027d209ec083525d235c5d5fbc959119818d9af8eb537788b46e27d1936,translations/vol52/m52-l3921.en.md,translated
7,m52-l3922,3922,இனியும் நம்புவதற்கு மக்கள் தயாராக இல்லை!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3922_இனியும்_நம்புவதற்கு_மக்கள்_தயாராக_இல்லை!/chapter.md,213df675eeb4448404eb38fc1512fcbac8de3b58514f690adbde1343bec05065,translations/vol52/m52-l3922.en.md,translated
8,m52-l3923,3923,வென்றது ஜனநாயகமா? பணநாயகமா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3923_வென்றது_ஜனநாயகமா_பணநாயகமா/chapter.md,72876af201dfcb2da02b70d7331c040deed72b2fe8a5019787d2cf1a43e3995e,translations/vol52/m52-l3923.en.md,translated
9,m52-l3924,3924,பொய்யாகிப் போன “பஸ்வாணத்” திட்டங்கள்!,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3924_பொய்யாகிப்_போன_“பஸ்வாணத்”_திட்டங்கள்!/chapter.md,0b9c764bef56b7b7de689ab4eb9d863c781eb22f3165f9de0b44fb96f52797c2,translations/vol52/m52-l3924.en.md,translated
10,m52-l3925,3925,நம்மீது பழி கூறுபவருக்கு நாக்கு ஒன்றா? இரண்டா?,v6_source_verification/v6_7_pretranslation/vol52/chapters/m52-l3925_நம்மீது_பழி_கூறுபவருக்கு_நாக்கு_ஒன்றா_இரண்டா/chapter.md,f52a84713e6d74fd87143552a488efce1ac3c8d0c70501a7910aacad14770d1d,translations/vol52/m52-l3925.en.md,translated
