order,chapter_id,letter_number,tamil_title,source_file,source_sha256,translation_file,status
1,m51-l3867,3867,நிலைகுலைந்த ஆட்சியில் விலைவாசி நிலவரம்!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3867_நிலைகுலைந்த_ஆட்சியில்_விலைவாசி_நிலவரம்!/chapter.md,5582b9730ef5c8a97bfbf631f5e8f1a2b0551a274c1c103ca16a5a874512ab0d,translations/vol51/m51-l3867.en.md,translated
2,m51-l3868,3868,பட்டியல் தருகிறேன்; பரப்பிடுக!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3868_பட்டியல்_தருகிறேன்;_பரப்பிடுக!/chapter.md,cac802ff27388a8bc6ea074eb0decf0c3bcbffa57174a89df66051af490569f7,translations/vol51/m51-l3868.en.md,translated
3,m51-l3869,3869,இப்போதாவது ஒரு கணம் சிந்திப்பீர்களா?,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3869_இப்போதாவது_ஒரு_கணம்_சிந்திப்பீர்களா/chapter.md,a5162764b655f45377ba7f61e1e26b8890fe0d7eee31572fe7ae831beb53c2e8,translations/vol51/m51-l3869.en.md,translated
4,m51-l3870,3870,எல்லோருக்கும் தெரிந்த உண்மை!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3870_எல்லோருக்கும்_தெரிந்த_உண்மை!/chapter.md,6cbf8506d5bd5b09f68e0066a1bdb1bec0b5510a4a8250002151a31410813954,translations/vol51/m51-l3870.en.md,translated
5,m51-l3871,3871,“சலசல”வெனப் பெருகும் சாட்சிய அருவிகள் பாரீர்!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3871_“சலசல”வெனப்_பெருகும்_சாட்சிய_அருவிகள்_பாரீர்!/chapter.md,6595968634fc6ac9703f93537209eb51d42172e623f9130006ae8db682da31b8,translations/vol51/m51-l3871.en.md,translated
6,m51-l3872,3872,பொய் சொல்வது நாங்களா? அல்லது நீங்களா?,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3872_பொய்_சொல்வது_நாங்களா_அல்லது_நீங்களா/chapter.md,7f91bf94e3c48c25a9b2e27db71d3ea322313f33dd441bc05b7deadb622c8720,translations/vol51/m51-l3872.en.md,translated
7,m51-l3873,3873,ஒவ்வொருவரும் ஒரு வாக்கு; ஒவ்வொருவராலும் ஒரு வாக்கு!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3873_ஒவ்வொருவரும்_ஒரு_வாக்கு;_ஒவ்வொருவராலும்_ஒரு_வாக்கு!/chapter.md,a6533e339043191a597c27be60f3eb5242e872957469cd28afb60a58abd9ed02,translations/vol51/m51-l3873.en.md,translated
8,m51-l3874,3874,கங்கையே சூதகமானால் எங்கே போய் மூழ்குவது?,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3874_கங்கையே_சூதகமானால்_எங்கே_போய்_மூழ்குவது/chapter.md,f406041857ddd1ade84ea616eba8a2d4ff8e6c8e9cc34cb7b2a5b55e35e13504,translations/vol51/m51-l3874.en.md,translated
9,m51-l3875,3875,துரோகம் செய்தது யார்? புரிகிறதா இப்போது!,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3875_துரோகம்_செய்தது_யார்_புரிகிறதா_இப்போது!/chapter.md,1ad1671abba9a938ba8a75dde388a2313b8d5e2ae0401e860977932594c8c603,translations/vol51/m51-l3875.en.md,translated
10,m51-l3876,3876,நீதியே! நீ இன்னும் இருக்கின்றாயா?,v6_source_verification/v6_7_pretranslation/vol51/chapters/m51-l3876_நீதியே!_நீ_இன்னும்_இருக்கின்றாயா/chapter.md,50c0331825c9923071abc524ca9ea0eaeeb5ff8faa126d77715f1dadb88cf55c,translations/vol51/m51-l3876.en.md,translated
