letter_number,occurrence,date,english_title,source_pdf_pages,translation_status,bilingual_alignment_status,editorial_review_status,final_release_status,source_incomplete,file
3364,1,2009-01-31,"One Born to Work, and a Pleasure-Seeker Born to Rest!",024-027,source-checked,aligned,reviewed,verified,false,letters/3364-one-born-to-work-and-a-pleasure-seeker-born-to-rest.md
3365,1,2009-02-07,There Is Life If We Unite!,028-031,source-checked,aligned,reviewed,verified,false,letters/3365-there-is-life-if-we-unite.md
3366,1,2009-02-09,The Heart — and the Pit!,032-032,source-checked,aligned,reviewed,verified,false,letters/3366-the-heart-and-the-pit.md
3367,1,2009-02-19,It Is the Silk Saree Bought for the Wedding!,033-040,source-checked,aligned,reviewed,verified,false,letters/3367-it-is-the-silk-saree-bought-for-the-wedding.md
3368,1,2009-02-21,"She Extends Her Hand; Congress Friends, Beware!",041-049,source-checked,aligned,reviewed,verified,false,letters/3368-she-extends-her-hand-congress-friends-beware.md
3369,1,2009-02-22,Let Us Make a New Rule!,050-055,source-checked,aligned,reviewed,verified,false,letters/3369-let-us-make-a-new-rule.md
3370,1,2009-02-24,To Protect Tamils Here and There!,056-061,source-checked,aligned,reviewed,verified,false,letters/3370-to-protect-tamils-here-and-there.md
3371,1,2009-02-27,Today Is a Day of Celebration in My Life!,062-065,source-checked,aligned,reviewed,verified,false,letters/3371-today-is-a-day-of-celebration-in-my-life.md
3372,1,2009-03-01,This Is Always Your Life!,066-069,source-checked,aligned,reviewed,verified,false,letters/3372-this-is-always-your-life.md
3373,1,2009-03-02,May Every Heart Become a Home of Love...!,070-073,source-checked,aligned,reviewed,verified,false,letters/3373-may-every-heart-become-a-home-of-love.md
3374,1,2009-03-03,"Shall I Give the List, So a Lesson May Be Learned!",074-078,source-checked,aligned,reviewed,verified,false,letters/3374-shall-i-give-the-list-so-a-lesson-may-be-learned.md
3375,1,2009-03-04,The Winning Alliance Is Forming Again!,079-084,source-checked,aligned,reviewed,verified,false,letters/3375-the-winning-alliance-is-forming-again.md
3376,1,2009-03-05,"Apparently, Questions Must Not Be Asked!",085-091,source-checked,aligned,reviewed,verified,false,letters/3376-apparently-questions-must-not-be-asked.md
3154,1,2009-03-07,We Welcome It Without Hesitation!,092-098,source-checked,aligned,reviewed,verified,false,letters/3154-we-welcome-it-without-hesitation.md
